Inf High Medium Low,Inf High Low 6,Inf High Low Median,Average infiltration rate,Drainage Area Ratio,Age,Ponding Depth,Underdrain,Percent Residential,Percent Vegetation Shrub,Percent Vegetation Tree,Percent Vegetation Grass,Percent Vegetation Prairie,Percent Vegetation Other,Percent Veg Other,Percent of Surface with Poor Infiltration,Vegetation Condition,Engineered Soil Depth,Engineered Soil Percent Sand,Engineered Soil Percent Compost,Underlying Soil Percent Sand,Underlying Soil Percent Silt,Underlying Soil Percent Clay,Underlying Soil Percent Urban Disturbed,Underlying Soil Percent Other Undefined,Underlying Soil Percent Organic Matter,Percent Nonresidential,Soil_PC_1,Soil_PC_2
High,High,High,17.56,11,7,3,1,0,90,10,0,0,0,100,0,3,16,50,0,37,33,15,0,15,0.8,100,0.535662257,0.352914237
Medium,High,High,12.85,3,6,2,1,0,75,10,0,0,15,100,0,3,16,50,0,5,7,4,79,5,0.1,100,-1.705871099,-0.934910291
High,High,High,15.26,15,10,2,1,30,40,0,0,40,20,60,0,3,24,50,0,14,17,6,60,3,0.2,70,-1.04239259,-0.58337608
High,High,High,14.83,4,11,6,1,0,90,10,0,0,0,100,0,3,7,50,0,66,24,10,0,0,0.3,100,0.196534627,1.363364922
High,High,High,21.39,26,10,5,1,100,95,5,0,0,0,100,0,3,24,88,6,26,48,21,0,5,0.6,0,1.309050336,-0.123392321
High,High,High,16.46,78,11,6,1,0,95,5,0,0,0,100,0,3,24,94,0,41,42,17,0,0,0.5,100,1.014409315,0.428445637
Medium,High,Low,9.48,21,6,24,0,100,100,0,0,0,0,100,0,3,24,89,5,26,62,12,0,0,0.9,0,1.414577303,-0.012190651
Medium,High,High,13.19,1,16,6,1,0,40,10,0,50,0,50,0,3,21,50,25,65,18,12,0,5,0.6,100,0.057148723,1.330253803
High,High,High,16.49,8,9,3,0,0,20,10,0,50,20,50,0,3,0,0,0,7,2,1,80,10,0.4,100,-2.02952982,-0.810218993
Medium,High,High,13.82,3,9,8,1,50,50,0,0,50,0,50,0,3,30,79,13,20,8,3,69,0,0.1,50,-1.530635605,-0.380096651
Medium,High,Low,8.97,9,11,6,1,30,0,0,0,90,10,10,0,2,24,82,10,41,42,17,0,0,0.5,70,1.014409315,0.428445637
Low,High,Low,6.7,9,2,12,1,80,0,0,0,100,0,0,0,2,12,88,6,38,41,21,0,0,1.4,20,1.157001316,0.32815619
High,High,High,16.48,6,2,12,1,80,0,0,0,100,0,0,0,2,24,88,6,38,41,21,0,0,1.4,20,1.157001316,0.32815619
Low,High,Low,6.22,37,12,4,1,0,0,0,100,0,0,0,0,2,12,61,35,14,12,4,70,0,0.3,100,-1.383009059,-0.591568994
High,High,High,15.24,8,10,6,1,70,10,40,0,40,10,60,0,3,24,89,5,40,43,17,0,0,0.5,30,1.04414147,0.393806069
High,High,High,18.69,33,6,0,1,0,0,0,0,90,10,10,0,2,0,0,0,17,47,36,0,0,0.46,100,1.922388008,-0.621911403
High,High,High,18.38,19,6,10.8,1,30,0,30,0,60,0,30,0,3,24,80,0,95,1,4,0,0,0.28,70,-0.727537407,2.43528604
Low,Low,Low,4.4,4,6,0,1,100,0,15,50,15,0,15,0,2,24,70,10,49,13,13,25,0,0.31,0,-0.361402798,0.661467924
Medium,High,Low,7.72,9,5,0,0,40,0,0,0,70,0,0,0,3,24,70,10,14,44,22,0,20,0.6,60,1.094825647,-0.5266996
Medium,High,Low,10.37,68,7,0,0,0,0,15,0,85,0,15,0,3,36,80,10,25,23,17,35,0,0.23,100,-0.045607216,-0.251642482
High,High,High,18.97,15,9,15,1,0,25,15,40,0,0,40,0,3,24,70,10,20,51,29,0,0,0.4,100,1.760542187,-0.441397602
