Average infiltration rate,Drainage Area Ratio,Age,Ponding depth,Underdrain,% Residential,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_other,% of surface with poor infiltration,Vegetation condition,Soil_PC_1,Soil_PC_2,Engineered soil depth,Engineered soil _% sand,Engineered soil _% compost
10.07139775,7,3,9,1,0,10,0,0,70,5,0,3,-1.993101538,1.59851492,18,75,25
4.74417194,8,4,6,1,0,0,0,0,99,1,0,2,2.191626296,0.386014203,12,0,0
7.582077176,29,5,6,1,10,0,0,95,5,0,0,1,2.103512652,0.433110195,18,0,0
21.17591796,2,4,7,1,0,20,60,0,0,0,10,2,2.526606399,0.755879194,36,85,15
13.67623353,3,3,16,1,100,45,2,50,0,3,0,3,2.1714026,0.371337782,18,70,30
11.71894003,45,3,19,1,100,0,0,0,99,0,0,3,2.588804356,0.684562892,18,70,30
4.75196216,32,7,2,0,0,0,0,0,50,0,0,3,1.359901728,-0.212644478,36,70,30
14.24097303,30,15,2,1,0,0,10,0,60,30,0,3,2.421260952,0.605005661,30,40,40
9.263195407,9,6,7.8,1,0,1,50,20,28,0,0,3,-1.706699594,1.266428122,24,70,30
12.975,4,3,12,1,0,0,1,0,95,4,0,3,-1.706699594,1.266428122,24,15,5
28.24616618,10,8,15,1,0,40,8,0,0,52,0,3,0.802132491,-0.214987875,18,100,0
20.44896774,12,9,18,1,0,5,20,0,65,5,0,3,2.229617019,0.518935463,36,70,30
40.76665587,3,10,7.5,1,100,40,10,0,35,10,0,2,-1.993101538,1.59851492,18,70,30
47.25,3,10,5.5,1,100,5,5,35,0,55,0,3,-1.993101538,1.59851492,18,70,30
2.922345649,517,8,7,0,0,0,100,0,0,0,0,2,-1.993101538,1.59851492,12,75,25
10.67558883,10,3,2,0,90,0,0,0,100,0,0,3,-1.706699594,1.266428122,6,75,25
13.91123909,39,3,7.5,1,10,0,1,0,98,1,1,3,-1.993101538,1.59851492,18,70,30
