High Low Inf,Drainage Area Ratio,Age,Ponding depth,Underdrain,% Residential,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_other,% of surface with poor infiltration,Vegetation condition,Engineered soil depth,Engineered soil _% sand,Engineered soil _% compost,Soil_PC_1,Soil_PC_2
1,2,4,7,1,0,20,60,0,0,0,10,2,36,85,15,2.232776412,-1.124350287
0,3,3,16,1,100,45,2,50,0,3,0,3,18,70,30,1.937557077,-0.666086801
0,45,3,19,1,100,0,0,0,99,0,0,3,18,70,30,2.299964466,-1.07069089
0,32,7,2,0,0,0,0,0,50,0,0,3,36,70,30,1.242142964,0.163288039
1,30,15,2,1,0,0,10,0,60,30,0,3,30,40,40,2.146051873,-0.899519247
0,9,6,7.8,1,0,1,50,20,28,0,0,3,24,70,30,-1.823011527,-0.666630616
0,4,3,12,1,0,0,1,0,95,4,0,3,24,15,5,-1.823011527,-0.666630616
1,10,8,15,1,0,40,8,0,0,52,0,3,18,100,0,0.71459451,0.235570585
1,12,9,18,1,0,5,20,0,65,5,0,3,36,70,30,1.975931176,-0.794593539
1,3,10,7.5,1,100,40,10,0,35,10,0,2,18,70,30,-2.325084231,-1.142507202
1,3,10,5.5,1,100,5,5,35,0,55,0,3,18,70,30,-2.325084231,-1.142507202
0,517,8,7,0,0,0,100,0,0,0,0,2,12,75,25,-2.325084231,-1.142507202
0,10,3,2,0,90,0,0,0,100,0,0,3,6,75,25,-1.823011527,-0.666630616
0,39,3,7.5,1,10,0,1,0,98,1,1,3,18,70,30,-2.325084231,-1.142507202
