Index,Average infiltration rate,High Low Inf,High Med Low Inf,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other,Area_PC,LandUse_PC_1,LandUse_PC_2,Veg_PC_1,Veg_PC_2,Soil_PC_1,Soil_PC_2,EngSoil_PC_1,EngSoil_PC_2,PoorInf_PC,Inlet_PC_1,Inlet_PC_2,Outlet_PC_1,Outlet_PC_2
NY_2022_13,3.61648888,Low,Low,90,2744,30,9,4,1,3,0,70,30,0,0,60,0,0,30,0,10,4,39,50,0,7,0.59,0,0,3,0,0,1,0,0,0,0,1,18,60,0,0,10,30,0.561410049,-1.454722142,-0.11132314,0.487959362,1.339435008,2.183082001,-1.213771623,-0.663398751,0.542649654,-0.404804717,-1.570929293,9.55E-15,1.097769134,-0.114828893
NY_2022_14,10.4848216,Low,Medium,400,6578,16,7,6,3,3,0,0,10,0,90,60,0,0,30,0,10,0,0,0,0,100,0,0,0,3,0,0,0,1,0,0,0,1,24,50,0,0,10,40,0.614187801,1.223146929,0.086340631,0.487959362,1.339435008,-1.823011527,-0.666630616,-1.102650563,0.362251381,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
NY_2022_15,3.0436947,Low,Low,205,1307,6,12,7.1,3,3,1,100,0,0,0,0,0,0,75,0,25,14,17,6,60,3,0.21,0,0,3,1,0,0,0,0,1,0,0,30,50,0,0,0,50,0.690664468,-1.750501681,1.027556219,-1.29199126,-0.247277452,-1.042255344,-0.582828579,-1.327654861,0.316943548,-0.404804717,0.98485969,1.529803864,-1.805924273,-0.353112576
NY_2023_01,8.5124304,Low,Medium,348,1126,3,9,6,3,3,1,10,40,0,50,0,10,0,90,0,0,20,8,3,69,0,0.1,0,0,3,1,0,0,0,0,0,0,1,28,89,4,2,5,0,0.698988366,0.241124055,-0.802943557,-1.39960382,-0.047178785,-1.530635605,-0.380096651,0.86388604,0.633038555,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2023_02,16.949985,High,High,8500,1000,0,7,3,3,3,1,0,0,0,100,30,10,0,0,0,60,37,40,23,0,0,0.55,0,0,3,1,0,0,0,0,1,0,0,24,40,46,14,0,0,0.219350995,1.444004353,0.403568291,0.806615133,0.799653722,1.195589205,0.22415621,1.422950692,-3.904038278,-0.404804717,0.98485969,1.529803864,-1.805924273,-0.353112576
NY_2023_03,7.500720848,Low,Low,18735,52409,3,17,3.5,3,3,1,50,0,0,50,60,40,0,0,0,0,76,18,6,0,0,0.5,1,10,3,0,0,1,0,0,0,0,1,30,48,40,12,0,0,-0.506927759,-0.153248664,0.715562255,1.812500645,2.21113138,-0.139085356,1.766356376,1.338599837,-3.219629893,2.513295742,-1.570929293,9.55E-15,1.097769134,-0.114828893
NY_2023_04,12.53833938,High,Medium,26136,855000,33,9,10,3,3,1,0,0,0,100,40,0,20,40,0,0,59,30,11,0,0,0.51,0,0,3,1,0,0,0,0,0,0,1,30,60,25,5,10,0,-2.468960931,1.444004353,0.403568291,0.288148724,0.390986263,0.417802728,1.120974012,0.774960097,-1.457462721,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2023_05,17.5592237,High,High,220,2365,11,7,3,2,2,1,0,100,0,0,90,10,0,0,0,0,37,33,15,0,15,0.8,0,0,3,1,0,0,0,0,1,0,0,16,50,45,5,0,0,0.660093047,-0.764569885,-2.768708311,1.709069994,2.350715331,0.535662257,0.352914237,0.808660162,-2.982944743,-0.404804717,0.98485969,1.529803864,-1.805924273,-0.353112576
NY_2023_06,12.84580952,High,Medium,245,855,3,6,2,3,3,1,0,70,0,30,75,10,0,0,0,15,5,7,4,79,5,0.1,0,0,3,1,0,0,0,0,0,0,1,16,50,45,5,0,0,0.705716394,-0.101997613,-1.81702533,1.483456279,1.962949929,-1.705871099,-0.934910291,0.808660162,-2.982944743,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2023_07,15.26176279,High,High,75,1100,15,10,2,3,3,1,30,70,0,0,40,0,0,40,0,20,14,17,6,60,3,0.2,0,0,3,1,0,0,0,0,1,0,0,24,50,0,0,0,50,0.648734978,-1.060349424,-1.629828952,-0.007857983,0.81449206,-1.04239259,-0.58337608,-1.327654861,0.316943548,-0.404804717,0.98485969,1.529803864,-1.805924273,-0.353112576
